"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL4303287";"";"0";"566.07";"2";"6.33";"24; THZ2";"CN(C)C/C=C/C(=O)Nc1cccc(C(=O)Nc2cccc(Nc3ncc(Cl)c(-c4c[nH]c5ccccc45)n3)c2)c1";"IC50";"'='";"96.9";"nM";"7.01";"";"";"UO_0000065";"12.39";"0.23";"0.68";"6.10";"False";"CHEMBL4403340";"Inhibition of CDK2 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4402527";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";""
"CHEMBL4161364";"";"0";"306.31";"0";"-0.83";"6";"N=c1[nH]c(=O)[nH]c2c1cnn2-c1ccc(S(N)(=O)=O)cc1";"Inhibition";"'='";"12.59";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL4131143";"Inhibition of CDK2 (unknown origin) at 0.004 uM by CDKN2A antibody-based spectrophotometry";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4130351";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";""
"CHEMBL409892";"GW305178X";"0";"367.39";"0";"1.65";"81";"NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc4ncccc4c32)cc1";"IC50";"'='";"1.6";"nM";"8.80";"";"";"UO_0000065";"23.94";"0.46";"7.15";"6.95";"True";"CHEMBL661125";"Inhibitory activity against human cyclin-dependent kinase 2 (CDK2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134300";"1";"Scientific Literature";"J. Med. Chem.";"2001";"None";""
"CHEMBL278683";"";"0";"210.28";"0";"3.67";"8";"CCCc1nccc2c1[nH]c1ccccc12";"Inhibition";"'='";"43.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL666137";"Percentage inhibition against cyclin dependent kinase 2 (CDK 2) at a concentration of 50 uM";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135277";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";"None";""
"CHEMBL14025";"";"0";"274.32";"0";"4.34";"20";"COc1ccc(-c2[nH]ccc3c4ccccc4nc2-3)cc1";"Inhibition";"'='";"6.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL666137";"Percentage inhibition against cyclin dependent kinase 2 (CDK 2) at a concentration of 50 uM";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135277";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";"None";""
"CHEMBL560839";"";"0";"447.54";"0";"2.65";"31";"CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3cccc(N4CCOCC4)c3)nc1-2";"IC50";"'='";"248.0";"nM";"6.61";"";"";"UO_0000065";"14.76";"0.27";"3.96";"6.80";"False";"CHEMBL1063936";"Inhibition of CDK2/Cyclin A";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151962";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None";""
"CHEMBL3589656";"";"0";"307.26";"0";"3.48";"5d";"O=C(O)c1nc2ccccc2c2[nH]c3ccc([N+](=O)[O-])cc3c12";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3591174";"Inhibition of human recombinant CDK2 using [gamma-33P]ATP as substrate after 30 mins by scintillation counting analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3588821";"1";"Scientific Literature";"J. Med. Chem.";"2015";"None";""
"CHEMBL3589660";"";"0";"296.71";"0";"4.22";"5h";"O=C(O)c1nc2ccccc2c2[nH]c3c(Cl)cccc3c12";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3591174";"Inhibition of human recombinant CDK2 using [gamma-33P]ATP as substrate after 30 mins by scintillation counting analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3588821";"1";"Scientific Literature";"J. Med. Chem.";"2015";"None";""
"CHEMBL3589662";"";"0";"388.16";"0";"4.17";"5j";"O=C(O)c1nc2ccccc2c2[nH]c3c(I)cccc3c12";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3591174";"Inhibition of human recombinant CDK2 using [gamma-33P]ATP as substrate after 30 mins by scintillation counting analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3588821";"1";"Scientific Literature";"J. Med. Chem.";"2015";"None";""
"CHEMBL3589672";"";"0";"467.06";"0";"4.93";"5t";"O=C(O)c1nc2ccc(I)cc2c2[nH]c3c(Br)cccc3c12";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3591174";"Inhibition of human recombinant CDK2 using [gamma-33P]ATP as substrate after 30 mins by scintillation counting analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3588821";"1";"Scientific Literature";"J. Med. Chem.";"2015";"None";""
