"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL221959";"TOFACITINIB";"4";"312.38";"0";"1.54";"CP-690550";"C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12";"Kd";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1908561";"Binding constant for CTK kinase domain";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4175";"Tyrosine-protein kinase CTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1908390";"1";"Scientific Literature";"Nat. Biotechnol.";"2011";"None";""
"CHEMBL1614701";"SELUMETINIB";"4";"457.69";"0";"3.53";"AZD-6244/ARRY-886";"Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21";"Kd";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1908561";"Binding constant for CTK kinase domain";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4175";"Tyrosine-protein kinase CTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1908390";"1";"Scientific Literature";"Nat. Biotechnol.";"2011";"None";""
"CHEMBL1822054";"";"0";"460.88";"0";"3.34";"10";"CC(=O)Nc1cn2nc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)ccc2n1";"Activity";"'='";"82.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1826900";"Activity of CTK kinase at 1 uM";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4175";"Tyrosine-protein kinase CTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821651";"1";"Scientific Literature";"J. Med. Chem.";"2011";"None";""
"CHEMBL10";"SB-203580";"0";"377.44";"0";"4.68";"SB-203580";"C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1";"Kd";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1908561";"Binding constant for CTK kinase domain";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4175";"Tyrosine-protein kinase CTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1908390";"1";"Scientific Literature";"Nat. Biotechnol.";"2011";"None";""
"CHEMBL1836927";"";"0";"767.90";"2";"9.30";"6b";"CC1(C)[C@@H](O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)NCCNC(=O)Nc4cc(C(F)(F)F)cc(C(F)(F)F)c4)CC[C@]3(C)CC[C@]21C";"Inhibition";"'='";"50.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1837271";"Inhibition of MATK at 1 uM by radiometric assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4175";"Tyrosine-protein kinase CTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833790";"1";"Scientific Literature";"J. Med. Chem.";"2011";"None";""
"CHEMBL1971943";"BAY-549";"0";"402.79";"0";"4.71";"BAY-549";"Cc1c[nH]c2nccc(Oc3c(F)cc(Nc4cc(Cl)nc(N)n4)cc3F)c12";"% Control";"";"88.0";"%";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL4507434";"KinomeScan assay: inhibition of CTK";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"Amino acid Start/Stop: M43/P508 | Expression system: mammalian | Kinase construct length: Full Length | Kinase form: Wild Type";"";"";"CHEMBL4175";"Tyrosine-protein kinase CTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4507274";"54";"Donated Chemical Probes - SGC Frankfurt";"";"2021";"None";"Compound concentration None 100.0 nM"
"CHEMBL4438024";"";"0";"265.19";"0";"0.29";"7a; NSC30049; NSC49L";"ClC/C=C/C[N+]12CN3CN(CN(C3)C1)C2.[Cl-]";"Activity";"'='";"96.27";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL4327655";"Inhibition of human CTK assessed as residual activity at 1 uM using poly[Glu:Tyr] (4:1) as substrate by [gamma-33P]-ATP assay relative to control";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4175";"Tyrosine-protein kinase CTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4325871";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";""
"CHEMBL379300";"A-443654";"0";"397.48";"0";"4.36";"A-443654";"Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc12";"Inhibition";"'='";"-10.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1252489";"Inhibition of MATK at 1 uM in presence of 10 uM ATP by Select Screen kinase assay relative to untreated control";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4175";"Tyrosine-protein kinase CTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1250448";"1";"Scientific Literature";"Nat. Chem. Biol.";"2009";"None";""
"CHEMBL608533";"MIDOSTAURIN";"4";"570.65";"2";"5.91";"PKC-412";"CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4";"Kd";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1908561";"Binding constant for CTK kinase domain";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4175";"Tyrosine-protein kinase CTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1908390";"1";"Scientific Literature";"Nat. Biotechnol.";"2011";"None";""
"CHEMBL4473365";"";"0";"602.16";"1";"4.93";"7c";"C=CC(=O)Nc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC)cc1N(C)CCN(C)C";"Activity";"'='";"98.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL4382461";"Binding affinity to wild-type human full length CTK (M43 to P508 residues) expressed in mammalian expression system assessed as residual binding level at 1 uM by Kinomescan method relative to control";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4175";"Tyrosine-protein kinase CTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4382192";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";""
